prompt_id,model_name,control,mode,delta_i_values,ngram_novelty_values,char_entropy_values,qa_failure,reasoning_failures
qa038,microsoft/phi-2,none,natural_long,[],[],[],False,"{'incoherence': True, 'contradiction': False, 'repetition': False}"
qa039,microsoft/phi-2,none,natural_long,[],[],[],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa040,microsoft/phi-2,none,natural_long,[],[],[],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa041,microsoft/phi-2,none,natural_long,"[0.18395781517028809, 0.19597578048706055, 0.250493586063385, 0.3310483694076538, 0.14977800846099854, 0.18152064085006714, 0.17241030931472778]","[0.4794520547945205, 0.44, 0.5113636363636364, 0.48936170212765956, 0.4050632911392405, 0.5405405405405406, 0.5263157894736842]","[4.56542805884238, 4.651793337977678, 4.59399516693959, 4.5119638539856135, 4.496533472685826, 4.516486099470911, 4.477740891222844, 4.4806352606845214]",True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa042,microsoft/phi-2,none,natural_long,"[0.18054020404815674, 0.11110115051269531, 0.11310255527496338, 0.19327020645141602, 0.17463982105255127, 0.31392407417297363, 0.28336966037750244, 0.2521986961364746]","[0.5306122448979592, 0.494949494949495, 0.5052631578947369, 0.5106382978723404, 0.5053763440860215, 0.5106382978723404, 0.5263157894736842, 0.5104166666666666]","[4.530950081739744, 4.446163641982632, 4.417716952468404, 4.44229837992735, 4.452507916692929, 4.525972727746867, 4.571865143167288, 4.524556517684191, 4.456789264529885]",True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa043,microsoft/phi-2,none,natural_long,[],[],[],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa044,microsoft/phi-2,none,natural_long,"[0.16829407215118408, 0.12422555685043335, 0.20022600889205933, 0.09142327308654785, 0.2429366111755371, 0.24225109815597534, 0.13960427045822144, 0.33012622594833374, 0.2289801836013794, 0.3888589143753052]","[0.43157894736842106, 0.47474747474747475, 0.5, 0.4857142857142857, 0.49514563106796117, 0.4854368932038835, 0.494949494949495, 0.5046728971962616, 0.49514563106796117, 0.4842105263157895]","[4.469950584430408, 4.426845637312653, 4.330219434192924, 4.307546882741447, 4.333555799518406, 4.324942905986121, 4.331882097246336, 4.306716157103912, 4.354347047816986, 4.375591484104334, 4.370679233107016]",False,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa045,microsoft/phi-2,none,natural_long,[],[],[],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa046,microsoft/phi-2,none,natural_long,[],[],[],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa047,microsoft/phi-2,none,natural_long,[],[],[],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa048,microsoft/phi-2,none,natural_long,[],[],[],False,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa049,microsoft/phi-2,none,natural_long,[],[],[],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa050,microsoft/phi-2,none,natural_long,[],[],[4.467977962365695],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa051,microsoft/phi-2,none,natural_long,[],[],[],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa052,microsoft/phi-2,none,natural_long,"[0.1601983904838562, 0.32282304763793945]","[0.5638297872340425, 0.5277777777777778]","[4.610846704014041, 4.5073363692007735, 4.271681380585096]",False,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa053,microsoft/phi-2,none,natural_long,"[0.24134612083435059, 0.1513078808784485, 0.143915057182312, 0.10839170217514038, 0.13095659017562866, 0.10240370035171509, 0.2278079390525818, 0.13265460729599, 0.22042196989059448]","[0.5111111111111111, 0.5050505050505051, 0.49019607843137253, 0.47959183673469385, 0.5257731958762887, 0.43956043956043955, 0.5681818181818182, 0.5, 0.4854368932038835]","[4.6322213132251155, 4.52037050290725, 4.4219957718865786, 4.437868091077184, 4.4406610489049365, 4.407975569898394, 4.446766615987351, 4.503699339087897, 4.422998199503561, 4.414157686780782]",False,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa054,microsoft/phi-2,none,natural_long,[],[],[],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa055,microsoft/phi-2,none,natural_long,[],[],[4.482850268066809],False,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa056,microsoft/phi-2,none,natural_long,"[0.09443533420562744, 0.1838865876197815]","[0.5268817204301075, 0.5]","[4.5018001141240225, 4.4217062248418495, 4.435362222826697]",True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa057,microsoft/phi-2,none,natural_long,[],[],[],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa058,microsoft/phi-2,none,natural_long,[],[],[],False,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa059,microsoft/phi-2,none,natural_long,[],[],[],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa060,microsoft/phi-2,none,natural_long,[],[],[],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa061,microsoft/phi-2,none,natural_long,[],[],[4.265012502424036],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa062,microsoft/phi-2,none,natural_long,[],[],[],False,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa063,microsoft/phi-2,none,natural_long,[],[],[],False,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa064,microsoft/phi-2,none,natural_long,[],[],[],False,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa065,microsoft/phi-2,none,natural_long,[],[],[],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa066,microsoft/phi-2,none,natural_long,[],[],[],False,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa067,microsoft/phi-2,none,natural_long,[],[],[],False,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa068,microsoft/phi-2,none,natural_long,[],[],[],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa069,microsoft/phi-2,none,natural_long,[0.3094208836555481],[0.5164835164835165],"[4.4203832837205255, 4.362910222061307]",True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa070,microsoft/phi-2,none,natural_long,[],[],[],False,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa071,microsoft/phi-2,none,natural_long,[],[],[4.391645384295736],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa072,microsoft/phi-2,none,natural_long,"[0.18612074851989746, 0.1582469940185547, 0.15545058250427246, 0.2312225103378296, 0.16230535507202148, 0.5482717156410217, 0.5147314071655273, 0.24012809991836548, 0.12927889823913574, 0.20243602991104126]","[0.5217391304347826, 0.5157894736842106, 0.5051546391752577, 0.5204081632653061, 0.5, 0.5257731958762887, 0.5339805825242718, 0.47474747474747475, 0.5054945054945055, 0.5368421052631579]","[4.379572607887301, 4.409379834103654, 4.357500653356983, 4.318373120706994, 4.303863549034265, 4.452493100774636, 4.403266265458451, 4.317285051518701, 4.400495212309925, 4.431255121573971, 4.385074432673282]",True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa073,microsoft/phi-2,none,natural_long,"[0.21433252096176147, 0.05127918720245361, 0.17582786083221436, 0.09443479776382446, 0.11459487676620483, 0.11281049251556396, 0.14227288961410522, 0.06879788637161255]","[0.49019607843137253, 0.5050505050505051, 0.5050505050505051, 0.5196078431372549, 0.4953271028037383, 0.45918367346938777, 0.5056179775280899, 0.5053763440860215]","[4.230049454552211, 4.239827232579981, 4.361395097918943, 4.322938567407118, 4.299355707025798, 4.271223730115681, 4.34465478519298, 4.400358642298636, 4.323400801421469]",True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa074,microsoft/phi-2,none,natural_long,[],[],[],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa075,microsoft/phi-2,none,natural_long,[],[],[],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa076,microsoft/phi-2,none,natural_long,"[0.22031515836715698, 0.09260261058807373, 0.15582048892974854, 0.24235135316848755, 0.2576175928115845, 0.06662273406982422, 0.038447678089141846, 0.10978448390960693, 0.0568690299987793, 0.16863149404525757]","[0.4074074074074074, 0.46835443037974683, 0.49382716049382713, 0.5918367346938775, 0.46153846153846156, 0.48484848484848486, 0.4479166666666667, 0.5104166666666666, 0.49514563106796117, 0.5092592592592593]","[4.581254608798287, 4.553578721501438, 4.5596029495867185, 4.479493109120163, 4.342543346678163, 4.301614319159911, 4.403030768664455, 4.377600620447231, 4.35006274369819, 4.295740489120639, 4.213900692443085]",True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa077,microsoft/phi-2,none,natural_long,[],[],[],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa078,microsoft/phi-2,none,natural_long,[],[],[],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa079,microsoft/phi-2,none,natural_long,[],[],[],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa080,microsoft/phi-2,none,natural_long,[0.1530495285987854],[0.5357142857142857],"[4.494871449283037, 4.440566317741766]",True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa081,microsoft/phi-2,none,natural_long,"[0.19628208875656128, 0.22428405284881592, 0.1466922163963318, 0.35052913427352905]","[0.49230769230769234, 0.3898305084745763, 0.5396825396825397, 0.4722222222222222]","[4.565846879671334, 4.60264256924842, 4.666924634402005, 4.571370954769968, 4.442176570925]",True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa082,microsoft/phi-2,none,natural_long,"[0.10669863224029541, 0.16348814964294434, 0.04813718795776367, 0.10878950357437134, 0.09288984537124634, 0.3850429058074951, 0.2893483638763428, 0.46301716566085815, 0.12182861566543579]","[0.4897959183673469, 0.5, 0.5098039215686274, 0.5, 0.5142857142857142, 0.49056603773584906, 0.5192307692307693, 0.47474747474747475, 0.4634146341463415]","[4.358115940121875, 4.327126753116647, 4.347766091517955, 4.337450029326018, 4.3726408147611675, 4.354786864975358, 4.417052101227372, 4.417294163155242, 4.411981646007631, 4.498632368004308]",True,"{'incoherence': False, 'contradiction': True, 'repetition': False}"
qa083,microsoft/phi-2,none,natural_long,[],[],[],False,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa084,microsoft/phi-2,none,natural_long,[],[],[],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa085,microsoft/phi-2,none,natural_long,[0.13012653589248657],[0.5340909090909091],"[4.528815312385305, 4.498491200868528]",True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa086,microsoft/phi-2,none,natural_long,[],[],[4.413305975907992],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa087,microsoft/phi-2,none,natural_long,"[0.18475699424743652, 0.19494116306304932, 0.16336655616760254, 0.13990342617034912, 0.17564678192138672, 0.40514564514160156, 0.20485138893127441, 0.4281259775161743, 0.05253177881240845, 0.2218843698501587]","[0.4948453608247423, 0.5053763440860215, 0.5353535353535354, 0.5, 0.5196078431372549, 0.5233644859813084, 0.5135135135135135, 0.48598130841121495, 0.5145631067961165, 0.494949494949495]","[4.540221267500114, 4.468260681351746, 4.409543691677855, 4.369206727603687, 4.437375256964012, 4.418615345358507, 4.302021094971961, 4.264691064458228, 4.29703588511882, 4.332149104842083, 4.347694078401123]",False,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa088,microsoft/phi-2,none,natural_long,[],[],[4.48355919101226],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa089,microsoft/phi-2,none,natural_long,[0.23040157556533813],[0.494949494949495],"[4.488303686796618, 4.401341697276739]",True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa090,microsoft/phi-2,none,natural_long,"[0.3080673813819885, 0.49582797288894653, 0.38469362258911133, 0.07056283950805664, 0.357063889503479, 0.444465696811676, 0.1573716402053833, 0.10729646682739258, 0.3486770987510681, 0.23623114824295044]","[0.4819277108433735, 0.5647058823529412, 0.5, 0.5473684210526316, 0.4897959183673469, 0.5268817204301075, 0.48936170212765956, 0.45454545454545453, 0.5773195876288659, 0.4953271028037383]","[4.479577512768936, 4.486757770048669, 4.53296337186963, 4.685418685954453, 4.602448938408261, 4.53519770214353, 4.582082319977999, 4.590277440334369, 4.64903133982769, 4.516108892965133, 4.362811318579163]",True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa091,microsoft/phi-2,none,natural_long,[],[],[],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa092,microsoft/phi-2,none,natural_long,"[0.07769584655761719, 0.35290759801864624, 0.24866557121276855, 0.1294318437576294, 0.285594642162323, 0.3455626964569092, 0.10390877723693848, 0.24895823001861572, 0.12135875225067139, 0.2442634105682373]","[0.5, 0.43023255813953487, 0.5494505494505495, 0.5339805825242718, 0.4479166666666667, 0.4875, 0.4430379746835443, 0.35064935064935066, 0.39473684210526316, 0.43902439024390244]","[4.397031718917041, 4.291484287029143, 4.363769864041351, 4.428868359194, 4.359149437618369, 4.499875441174534, 4.618668806303197, 4.715772519315763, 4.688322677313263, 4.703026002015521, 4.656017472571314]",True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa093,microsoft/phi-2,none,natural_long,"[0.11020666360855103, 0.18939632177352905, 0.2258647084236145, 0.34839046001434326, 0.19439709186553955, 0.3181423544883728, 0.26967012882232666, 0.43173104524612427, 0.2684214115142822, 0.13883715867996216]","[0.5473684210526316, 0.4842105263157895, 0.5164835164835165, 0.4888888888888889, 0.5384615384615384, 0.4787234042553192, 0.5, 0.5425531914893617, 0.4673913043478261, 0.42857142857142855]","[4.243154355130197, 4.29819313374484, 4.358497673775625, 4.374229928581406, 4.429240778271762, 4.420286484397317, 4.40084805801751, 4.585131825235047, 4.53710748442316, 4.5350915228681306, 4.754974418200492]",True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa094,microsoft/phi-2,none,natural_long,[],[],[4.469223998086653],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa095,microsoft/phi-2,none,natural_long,"[0.2634008526802063, 0.2127598524093628, 0.14726030826568604]","[0.484375, 0.5185185185185185, 0.5272727272727272]","[4.845557907477578, 4.747496081825514, 4.779108923001095, 4.689938339815262]",True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa096,microsoft/phi-2,none,natural_long,[],[],[4.407227068694237],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa097,microsoft/phi-2,none,natural_long,[],[],[],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa098,microsoft/phi-2,none,natural_long,"[0.2397211790084839, 0.1565641164779663, 0.2965826392173767, 0.17914074659347534, 0.17439943552017212, 0.4995042681694031, 0.15119093656539917, 0.1623888611793518]","[0.5208333333333334, 0.4838709677419355, 0.4819277108433735, 0.5476190476190477, 0.5113636363636364, 0.5058823529411764, 0.4939759036144578, 0.4819277108433735]","[4.415134022407584, 4.505801131907585, 4.537446569381696, 4.5903882265135385, 4.593615216910409, 4.5619292862306935, 4.590774929274191, 4.606410127833685, 4.622081051654457]",True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa099,microsoft/phi-2,none,natural_long,"[0.1321488618850708, 0.12799322605133057, 0.11616647243499756, 0.31821322441101074, 0.3346126079559326, 0.15348798036575317, 0.5053064227104187, 0.1778154969215393, 0.1299012303352356]","[0.475, 0.4883720930232558, 0.5444444444444444, 0.4948453608247423, 0.4838709677419355, 0.4891304347826087, 0.3902439024390244, 0.4788732394366197, 0.5074626865671642]","[4.389587618309352, 4.410182884458732, 4.389758934701329, 4.353243529806886, 4.433172541128696, 4.483079204343196, 4.432904708355377, 4.40244821988994, 4.464864809708044, 4.261144222423631]",True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa100,microsoft/phi-2,none,natural_long,[],[],[],True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa101,microsoft/phi-2,none,natural_long,"[0.21760571002960205, 0.22622430324554443, 0.2771189212799072, 0.05193120241165161, 0.10720455646514893, 0.4253816604614258, 0.7030231356620789, 0.08497530221939087, 0.21569961309432983, 0.38113081455230713]","[0.4583333333333333, 0.3880597014925373, 0.5432098765432098, 0.5483870967741935, 0.45652173913043476, 0.4, 0.6428571428571429, 0.41333333333333333, 0.631578947368421, 0.4523809523809524]","[4.296440066228569, 4.3088712713979795, 4.459103688216287, 4.559796806429853, 4.377841041421749, 4.507316145787112, 4.822037507421511, 4.7109873422110535, 4.661369481220397, 4.8188830126886675, 4.625549993835564]",True,"{'incoherence': False, 'contradiction': False, 'repetition': False}"
qa102,microsoft/phi-2,none,natural_long,"[0.15011370182037354, 0.21585208177566528, 0.22428244352340698, 0.1978166103363037, 0.22973090410232544, 0.16179770231246948, 0.1940469741821289, 0.39349889755249023, 0.13750338554382324, 0.17202991247177124]","[0.4936708860759494, 0.5531914893617021, 0.5, 0.5353535353535354, 0.5327102803738317, 0.45454545454545453, 0.4625, 0.47297297297297297, 0.48717948717948717, 0.5394736842105263]","[4.40952322759273, 4.546220104819709, 4.437007201260627, 4.20110635384046, 4.2700131081352115, 4.277330960218294, 4.398503059432942, 4.643117023459152, 4.631570065647615, 4.683623592195884, 4.817507612106598]",True,"{'incoherence': False, 'contradiction': True, 'repetition': False}"
